source,target,action,niche,use,subtype,quality_score,has_text_overlay,status,error
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (1).png,Media\bathroom\ba\bathroom_ba_together_003.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (10).png,Media\bathroom\ba\bathroom_ba_together_005.jpg,converted+moved,bathroom,ba,together,9,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (11).png,Media\bathroom\ba\bathroom_ba_together_007.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (12).png,Media\bathroom\ba\bathroom_ba_together_009.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (13).png,Media\bathroom\ba\bathroom_ba_together_011.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (14).png,Media\bathroom\ba\bathroom_ba_together_013.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (15).png,Media\bathroom\ba\bathroom_ba_together_015.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (16).png,Media\bathroom\ba\bathroom_ba_together_017.jpg,converted+moved,bathroom,ba,together,7,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (17).png,Media\bathroom\ba\bathroom_ba_together_019.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (18).png,Media\bathroom\ba\bathroom_ba_together_021.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (19).png,Media\bathroom\ba\bathroom_ba_together_023.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (20).png,Media\bathroom\ba\bathroom_ba_together_026.jpg,converted+moved,bathroom,ba,together,7,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (21).png,Media\bathroom\ba\bathroom_ba_together_028.jpg,converted+moved,bathroom,ba,together,7,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (23).png,Media\bathroom\ba\bathroom_ba_together_031.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (24).png,Media\bathroom\ba\bathroom_ba_together_033.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (25).png,Media\bathroom\ba\bathroom_ba_together_035.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (27).png,Media\bathroom\ba\bathroom_ba_together_038.jpg,converted+moved,bathroom,ba,together,7,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (3).png,Media\bathroom\ba\bathroom_ba_together_042.jpg,converted+moved,bathroom,ba,together,8,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (6).png,Media\bathroom\ba\bathroom_ba_together_051.jpg,converted+moved,bathroom,ba,together,6,False,ok,
Media\bathroom remodelin\— bathroom remodeling\Before-after\Before After Together  (7).png,Media\bathroom\ba\bathroom_ba_together_053.jpg,converted+moved,bathroom,ba,together,7,False,ok,
Media\floring\before after\Floring After Story 1.webp,Media\flooring\ba\flooring_ba_after_001.jpg,converted+moved,flooring,ba,after,8,False,ok,
Media\floring\before after\Floring Before Story 1  (3).webp,Media\flooring\ba\flooring_ba_process_001.jpg,converted+moved,flooring,ba,process,7,False,ok,
Media\floring\before after\Floring Before Story 1  (2).webp,Media\flooring\ba\flooring_ba_story_001.jpg,converted+moved,flooring,ba,story,8,False,ok,
Media\floring\before after\Before After Together 12.webp,Media\flooring\ba\flooring_ba_together_002.jpg,converted+moved,flooring,ba,together,8,False,ok,
Media\floring\projects\featured.webp,Media\flooring\hero\flooring_hero_result_003.jpg,converted+moved,flooring,hero,result,9,False,ok,
Media\floring\projects\image-3-1024x706.png,Media\flooring\hero\flooring_hero_result_004.jpg,converted+moved,flooring,hero,result,9,False,ok,
Media\floring\before after\Floring Before Story 1  (1).webp,Media\flooring\project\flooring_project_wide_001.jpg,converted+moved,flooring,project,wide,8,False,ok,
Media\floring\projects\IMG_9358.webp,Media\flooring\project\flooring_project_wide_006.jpg,converted+moved,flooring,project,wide,8,False,ok,
Media\floring\projects\New_Projects-2_girls_1600x.webp,Media\flooring\project\flooring_project_wide_007.jpg,converted+moved,flooring,project,wide,9,False,ok,
Media\floring\projects\a307ea676e028448a1bca7cef9da989ac9bf457c-2048x736.webp,Media\flooring\project\flooring_project_wide_011.jpg,converted+moved,flooring,project,wide,8,False,ok,
Media\floring\projects\arreton-laminate-flooring.webp,Media\flooring\project\flooring_project_wide_012.jpg,converted+moved,flooring,project,wide,8,False,ok,
Media\floring\projects\bathroom-floor.webp,Media\flooring\project\flooring_project_wide_013.jpg,converted+moved,flooring,project,wide,8,False,ok,
Media\floring\projects\pexels-jean-van-der-meulen-1457847.webp,Media\flooring\project\flooring_project_wide_020.jpg,converted+moved,flooring,project,wide,9,False,ok,
Media\HVAC\Befor After\HVAC After 1.png,Media\hvac\ba\hvac_ba_after_001.jpg,converted+moved,hvac,ba,after,6,False,ok,
Media\HVAC\Befor After\HVAC After 2.png,Media\hvac\ba\hvac_ba_after_002.jpg,converted+moved,hvac,ba,after,6,False,ok,
Media\HVAC\Befor After\HVAC Before 1.png,Media\hvac\ba\hvac_ba_before_001.jpg,converted+moved,hvac,ba,before,5,False,ok,
Media\HVAC\Befor After\HVAC Before 2.png,Media\hvac\ba\hvac_ba_before_002.jpg,converted+moved,hvac,ba,before,5,False,ok,
Media\HVAC\Befor After\HVAC Before After Story 1-1.webp,Media\hvac\ba\hvac_ba_before_003.jpg,converted+moved,hvac,ba,before,6,False,ok,
Media\HVAC\Befor After\HVAC Before After Story 1-4.webp,Media\hvac\ba\hvac_ba_before_004.jpg,converted+moved,hvac,ba,before,6,False,ok,
Media\HVAC\Befor After\HVAC Before After Story 1-3.webp,Media\hvac\ba\hvac_ba_process_001.jpg,converted+moved,hvac,ba,process,6,False,ok,
Media\HVAC\Befor After\HVAC Before After Story 1-2.webp,Media\hvac\ba\hvac_ba_story_001.jpg,converted+moved,hvac,ba,story,6,False,ok,
Media\HVAC\Befor After\Before-and-After_5.webp,Media\hvac\ba\hvac_ba_together_001.jpg,converted+moved,hvac,ba,together,6,False,ok,
Media\HVAC\Befor After\HVAC Before After Together 2.webp,Media\hvac\ba\hvac_ba_together_004.jpg,converted+moved,hvac,ba,together,8,False,ok,
Media\HVAC\Befor After\HVAC Before After Together 3.webp,Media\hvac\ba\hvac_ba_together_005.jpg,converted+moved,hvac,ba,together,7,False,ok,
Media\HVAC\Befor After\HVAC Before After Together 4.webp,Media\hvac\ba\hvac_ba_together_006.jpg,converted+moved,hvac,ba,together,6,False,ok,
Media\HVAC\Befor After\HVAC Before After Together 5.webp,Media\hvac\ba\hvac_ba_together_007.jpg,converted+moved,hvac,ba,together,6,False,ok,
Media\HVAC\Befor After\HVAC Before After Together 6.webp,Media\hvac\ba\hvac_ba_together_008.jpg,converted+moved,hvac,ba,together,6,False,ok,
Media\HVAC\Befor After\HVAC Before After Together 7.webp,Media\hvac\ba\hvac_ba_together_009.jpg,converted+moved,hvac,ba,together,8,False,ok,
Media\HVAC\Befor After\HVAC Before After Together 8.webp,Media\hvac\ba\hvac_ba_together_010.jpg,converted+moved,hvac,ba,together,8,False,ok,
Media\HVAC\Befor After\HVAC Before After Together Story.webp,Media\hvac\ba\hvac_ba_together_013.jpg,converted+moved,hvac,ba,together,8,True,ok,
Media\HVAC\Befor After\HVAC Before After Together.webp,Media\hvac\ba\hvac_ba_together_014.jpg,converted+moved,hvac,ba,together,6,False,ok,
Media\HVAC\Befor After\install-ac-before-and-after.png,Media\hvac\ba\hvac_ba_together_016.jpg,converted+moved,hvac,ba,together,8,False,ok,
Media\HVAC\Hero Page\edited_Before-and-after-installing-a-Ductless-HVAC-system.png,Media\hvac\ba\hvac_ba_together_017.jpg,converted+moved,hvac,ba,together,8,False,ok,
Media\HVAC\Hero Page\how-does-an-hvac-system-works.webp,Media\hvac\hero\hvac_hero_product_001.jpg,converted+moved,hvac,hero,product,8,False,ok,
Media\HVAC\Hero Page\team-replacing-old-air-conditioner_482257-78499.avif,Media\hvac\hero\hvac_hero_team_002.jpg,converted+moved,hvac,hero,team,8,False,ok,
Media\HVAC\Hero Page\ac-installation-un-installation-service-500x500.webp,Media\hvac\hero\hvac_hero_worker_005.jpg,converted+moved,hvac,hero,worker,7,False,ok,
Media\HVAC\Hero Page\african-american-factory-worker-orange-hard-hat-standing-holding-hands-air-conditioner-while-checking-attachment-wall-outdoors-concept-manual-work-installation-equipment_161094-15992.avif,Media\hvac\hero\hvac_hero_worker_006.jpg,converted+moved,hvac,hero,worker,8,False,ok,
Media\HVAC\Hero Page\air-conditioner-ac-repair-building-hvac-maintenance-handyman-builder-home-renovation-electric-technician-service-worker-contractor-house-equipment-installation-wall_590464-151621.avif,Media\hvac\hero\hvac_hero_worker_007.jpg,converted+moved,hvac,hero,worker,7,False,ok,
Media\HVAC\Hero Page\air-conditioning-compressor-outdoor-unit-600nw-2479010499.webp,Media\hvac\hero\hvac_hero_worker_008.jpg,converted+moved,hvac,hero,worker,8,False,ok,
Media\HVAC\Hero Page\happy-male-technician-repairing-air-600nw-2393274577.webp,Media\hvac\hero\hvac_hero_worker_009.jpg,converted+moved,hvac,hero,worker,8,False,ok,
Media\HVAC\Hero Page\installation-air-conditioning-man-installs-indoor-unit-conditioner-56574663.webp,Media\hvac\hero\hvac_hero_worker_011.jpg,converted+moved,hvac,hero,worker,8,False,ok,
Media\HVAC\Hero Page\installation-outdoor-unit-air-conditioner-worker-installs-wall-house-154329339.webp,Media\hvac\hero\hvac_hero_worker_012.jpg,converted+moved,hvac,hero,worker,8,False,ok,
Media\HVAC\Hero Page\installation-service-fix-repair-maintenance-air-conditioner-indoor-unit-cryogenist-technican-worker-screwdriver-blue-152179350.webp,Media\hvac\hero\hvac_hero_worker_013.jpg,converted+moved,hvac,hero,worker,8,False,ok,
Media\HVAC\Hero Page\professional-hvac-technician-working-on-600nw-2730673443.webp,Media\hvac\hero\hvac_hero_worker_020.jpg,converted+moved,hvac,hero,worker,8,False,ok,
Media\security home\Hero Page\Blog-Banner-SO-1.webp,Media\security\hero\security_hero_worker_001.jpg,converted+moved,security,hero,worker,8,False,ok,
Media\bathroom remodelin\— walk ing shower\Project\Melinda20O'Connor20&20credit20Concannon_1.webp,Media\shower\project\shower_project_detail_002.jpg,converted+moved,shower,project,detail,8,False,ok,
Media\siding\Before after\Before-and-After-James-Hardie-Siding-Pros-Smooth-Panel-Tigard-OR-scaled.webp,Media\siding\ba\siding_ba_together_007.jpg,converted+moved,siding,ba,together,8,True,ok,
Media\siding\Before after\Before-and-After-James-Hardie-Smooth-Panel-Siding-Tigard-OR-scaled.webp,Media\siding\ba\siding_ba_together_008.jpg,converted+moved,siding,ba,together,8,True,ok,
Media\siding\Before after\EIFS-Siding-Replacement-Contractor-Camas-WA-scaled.webp,Media\siding\ba\siding_ba_together_009.jpg,converted+moved,siding,ba,together,8,True,ok,
Media\siding\Before after\EIFS-Siding-Replacement-with-James-Hardie-ELITE-Preferred-Contractor-Camas-WA-scaled.webp,Media\siding\ba\siding_ba_together_010.jpg,converted+moved,siding,ba,together,9,True,ok,
Media\siding\Before after\Hardie-Plank-Siding-Pros-Installation-Contractor-Orchards-WA-Elite-Home-Exteriors-NW-scaled.webp,Media\siding\ba\siding_ba_together_011.jpg,converted+moved,siding,ba,together,9,True,ok,
Media\siding\Before after\James-Hardie-Board-Fiber-Siding-in-Vancouver-WA-ELITE-Installation-scaled.webp,Media\siding\ba\siding_ba_together_012.jpg,converted+moved,siding,ba,together,8,True,ok,
Media\siding\Before after\James-Hardie-Panel-Smooth-Siding-Contractor-Portland-OR-scaled.webp,Media\siding\ba\siding_ba_together_013.jpg,converted+moved,siding,ba,together,8,True,ok,
Media\siding\Hero page\6520116a40c8227ee8dbb482_001_frey_complete_build_fossimagery_005_1024x683_o806tvsaitkeu0tvn7s01t-1024x683.webp,Media\siding\hero\siding_hero_result_001.jpg,converted+moved,siding,hero,result,8,False,ok,
Media\siding\Hero page\6520116a5467d373dcffd4b1_001_frey_complete_build_fossimagery_004_1024x683_z5brt4mzwdlo7oo81928y-1024x683.webp,Media\siding\hero\siding_hero_result_002.jpg,converted+moved,siding,hero,result,8,False,ok,
Media\siding\Hero page\6520116a6505b9150cadaffd_001_frey_complete_build_fossimagery_001_1024x683_dbx90zirbugjbslpn7sq-1024x683.webp,Media\siding\hero\siding_hero_result_003.jpg,converted+moved,siding,hero,result,8,False,ok,
Media\siding\Hero page\6520116a7a330159142d63bb_001_frey_complete_build_fossimagery_002_1_1024x683_a0h9iegy22i1rpqn3exkuuj-1024x683 (1).webp,Media\siding\hero\siding_hero_result_004.jpg,converted+moved,siding,hero,result,8,False,ok,
Media\siding\Hero page\6520116a9de38d298ef4fde3_001_frey_complete_build_fossimagery_003_1024x683_tltd1w77kk2kfoobj4cot-1024x683.webp,Media\siding\hero\siding_hero_result_005.jpg,converted+moved,siding,hero,result,8,False,ok,
Media\siding\Hero page\652446d310955ef4733c6e7e_101_2924_492n7fsa118oo3w3tbea3e-1437x1080 (1).webp,Media\siding\hero\siding_hero_result_006.jpg,converted+moved,siding,hero,result,8,False,ok,
Media\siding\Hero page\652446d35f4f1219afaf3fc7_530_winnebago_ave_frey_construction_llc_001_hi4bmhlhxi9jnd71oxa0r-1620x1080 (1).webp,Media\siding\hero\siding_hero_result_007.jpg,converted+moved,siding,hero,result,8,False,ok,
Media\siding\Hero page\652446d36428aa59fe3ff2da_101_2911_9g0wkous8l93tori652r9r-1437x1080 (1).webp,Media\siding\hero\siding_hero_result_008.jpg,converted+moved,siding,hero,result,8,False,ok,
Media\siding\Hero page\652446d3d7832cbcc4af61fd_101_2914_ghhlbfxnirf11nshrh179s-1437x1080 (1).webp,Media\siding\hero\siding_hero_result_009.jpg,converted+moved,siding,hero,result,8,False,ok,
Media\siding\Hero page\652446d3dc6af8627ac5cef1_101_2923_gc9jw0f9loh5dbfofc0e7-812x1080.webp,Media\siding\hero\siding_hero_result_010.jpg,converted+moved,siding,hero,result,8,False,ok,
Media\siding\Hero page\best_windows_madison_wi_m253xt4li6p3kdb3pqerrf-1920x1080.webp,Media\siding\hero\siding_hero_result_011.jpg,converted+moved,siding,hero,result,8,False,ok,
Media\siding\Hero page\siding_windows_doors_pardeeville_wi__1__09ywa55u0cr36jogmibyrhu-1920x1080.webp,Media\siding\hero\siding_hero_result_012.jpg,converted+moved,siding,hero,result,8,False,ok,
Media\siding\Hero page\siding_windows_doors_pardeeville_wi__2__udrokmg59qiq3iv60d38pb-1920x1080.webp,Media\siding\hero\siding_hero_result_013.jpg,converted+moved,siding,hero,result,8,False,ok,
Media\siding\Hero page\siding_windows_doors_pardeeville_wi__3__83q6kc6hjljh8yat0cnyjb-1920x1080.webp,Media\siding\hero\siding_hero_result_014.jpg,converted+moved,siding,hero,result,8,False,ok,
Media\siding\Hero page\siding_windows_doors_pardeeville_wi__4__zrf3byzcbg1433hrq9qam-1920x1080.webp,Media\siding\hero\siding_hero_result_015.jpg,converted+moved,siding,hero,result,8,False,ok,
